,owner,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,altitude_mean_meters
181,bismarck castro,Honduras,Caturra,unknown,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,84.33,1500
182,raúl vargas,Colombia,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,84.33,1750
183,bismarck castro,Honduras,Catuai,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,7.83,84.33,1500
184,racafe & cia s.c.a,Colombia,unknown,unknown,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.83,84.33,1750
185,carcafe ltda ci,Colombia,Caturra,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,7.33,84.33,1750
186,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,8.17,84.33,1800
187,victor hugo melchor cordova,Mexico,Typica,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,7.83,84.33,1700
188,nucoffee,Brazil,Yellow Bourbon,unknown,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,7.75,84.33,1275
189,nucoffee,Brazil,unknown,unknown,8.0,8.0,7.5,7.5,7.67,7.75,10.0,10.0,10.0,7.92,84.33,1050
190,benjamin schmerler,Ethiopia,unknown,unknown,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,7.75,84.33,1493
191,the coffee source inc.,Guatemala,unknown,unknown,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,7.92,84.33,1386
192,"lin, che-hao krude 林哲豪",Taiwan,Typica,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,7.67,84.25,1000
193,松澤宏樹 koju matsuzawa,Thailand,Catimor,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,8.0,84.25,1200
194,carcafe ltda ci,Colombia,Caturra,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,7.83,84.25,2560
195,juan luis alvarado romero,Guatemala,Caturra,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,7.75,84.25,1500
196,juan luis alvarado romero,Guatemala,Caturra,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,7.75,84.25,1099
197,yunnan coffee exchange,China,Catimor,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.25,1400
198,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,7.83,84.25,1775
199,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,7.75,84.25,1775
200,federacion nacional de cafeteros,Colombia,Other,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,7.83,84.25,1800
201,carcafe ltda ci,Colombia,Caturra,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,7.83,84.25,1750
202,tembo coffee company ltd,Tanzania,Other,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,7.83,84.25,1620
203,taylor winch (t) ltd,Tanzania,Other,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.25,1600
204,juan luis alvarado romero,Guatemala,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,7.83,84.25,1219
205,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.25,1700
206,kona pacific farmers cooperative,Hawaii,Hawaiian Kona,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,7.83,84.25,518
207,jesus salazar velasco,Mexico,Typica,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,7.75,84.25,1450
208,manuel herrera juarez,Mexico,Bourbon,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,7.75,84.25,1170
209,alfredo bojalil,Mexico,Bourbon,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,7.83,84.25,1400
210,afca,Uganda,Other,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,7.67,84.25,1700
211,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,7.75,84.17,1700
212,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.75,84.17,1750
213,wayner jimenez,Costa Rica,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,8.0,84.17,1700
214,juan luis alvarado romero,Guatemala,Caturra,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,7.58,84.17,1116
215,juan luis alvarado romero,Guatemala,Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,7.67,84.17,1565
216,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.83,84.17,1395
217,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,7.67,84.17,1775
218,cooperativa el gorrion r.l,Nicaragua,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,7.83,84.17,1000
219,cafebras,Brazil,Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,84.17,1150
220,"ceca, s.a.",Costa Rica,Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,84.17,1850
221,asefa dukamo keroma,Ethiopia,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,84.17,1606
222,selian coffee estate,Tanzania,Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,84.17,1400
223,olam agro colombia,Colombia,Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,7.5,84.17,1530
224,chris finch,Guatemala,unknown,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.17,1395
225,itochu corporation,Kenya,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,84.17,1754
226,owen carver,Brazil,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,84.17,1038
227,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,84.17,1310
228,atlantic specialty coffee,El Salvador,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,7.92,84.17,1500
229,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,84.17,1750
230,juan luis alvarado romero,Guatemala,Catuai,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,7.67,84.17,1395
231,afca,Uganda,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,84.17,1600
232,pt.royal pacific indah international,Indonesia,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,7.75,84.13,1350
233,carcafe ltda ci,Colombia,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,84.08,1750
234,"lin, che-hao krude 林哲豪",Taiwan,Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,84.08,968
235,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,7.67,84.08,1395
236,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,7.67,84.08,1775
237,lusso lab,Guatemala,Bourbon,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,84.08,1550
238,kona pacific farmers cooperative,Hawaii,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,8.0,84.08,518
239,andres martinez leon,Mexico,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,84.08,1480
240,steven kil,Ethiopia,Other,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,10.0,10.0,8.67,7.92,84.08,1800
241,amanda powers,Costa Rica,unknown,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.67,84.0,1300
242,kyagalanyi coffee ltd,Ethiopia,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,84.0,1800
243,bismarck castro,Honduras,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,84.0,1500
244,juan luis alvarado romero,Guatemala,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,84.0,1706
245,olam agro colombia,Colombia,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,84.0,1600
246,juan luis alvarado romero,Guatemala,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,84.0,1219
247,juan luis alvarado romero,Guatemala,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,84.0,1219
248,olam agro colombia,Colombia,unknown,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,10.0,7.83,84.0,1480
249,compañia colombiana agroindustrial s.a,Colombia,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,84.0,1450
250,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,84.0,1775
251,lusso lab,Ethiopia,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,84.0,1550
252,ipanema coffees,Brazil,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,84.0,1260
253,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,84.0,1700
254,ibero kenya limited,Kenya,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,84.0,1200
255,doi tung development project,Thailand,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84.0,1000
256,taylor winch (coffee) ltd.,Kenya,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,84.0,1650
257,afca,Uganda,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,84.0,1700
258,doi tung development project,Thailand,unknown,unknown,7.58,7.75,7.58,7.75,7.58,7.75,10.0,10.0,10.0,8.0,84.0,1000
259,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,83.92,890
260,cafes tomari sa de cv,Mexico,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,83.92,1300
261,sarawut premjit,Thailand,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,83.92,1350
262,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,83.92,934
263,"lin, che-hao krude 林哲豪",Taiwan,Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,83.92,1200
264,carcafe ltda ci,Colombia,unknown,unknown,7.75,7.67,7.5,7.75,7.83,7.75,10.0,10.0,10.0,7.67,83.92,1750
265,almacafe,Colombia,unknown,unknown,7.75,7.58,7.5,7.83,7.75,7.92,10.0,10.0,10.0,7.58,83.92,1750
266,cqi taiwan icp cqi台灣合作夥伴,Taiwan,unknown,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.92,750
267,federacion nacional de cafeteros,Colombia,unknown,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.92,1750
268,federacion nacional de cafeteros,Colombia,unknown,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,10.0,10.0,7.67,83.92,1750
269,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,83.92,1775
270,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Typica,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,83.92,950
271,compañia colombiana agroindustrial s.a,Colombia,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,83.92,1550
272,oscar ortega carballo,Mexico,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,83.92,900
273,alfredo bojalil,Mexico,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,10.0,7.83,83.92,1500
274,organizaciones de productores de cafe colimense,Mexico,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,83.92,1400
275,carcafe ltda ci,Colombia,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.83,2527
276,racafe & cia s.c.a,Colombia,Caturra,unknown,7.83,7.67,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.58,83.83,1750
277,"ceca, s.a.",Costa Rica,Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,83.83,1850
278,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,83.83,1500
279,cqi taiwan icp cqi台灣合作夥伴,Taiwan,unknown,unknown,7.75,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,7.75,83.83,1200
280,ipanema coffees,Brazil,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8.0,83.83,1000
281,"lin, che-hao krude 林哲豪",Taiwan,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,83.83,525
282,yasmin cofffee plantation plc,Ethiopia,unknown,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.75,83.83,1676
283,ipanema coffees,Brazil,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,83.83,1200
284,eric thormaehlen,Costa Rica,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,83.83,1300
285,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,83.83,1219
286,ipanema coffees,Brazil,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,83.83,1260
287,garet alban,Ecuador,unknown,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,7.67,83.83,800
288,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,83.83,1750
289,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,83.83,1310
290,filemon mendoza campos,Mexico,Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,83.83,1218
291,alfredo bojalil,Mexico,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.83,83.83,1300
292,jacques pereira carneiro,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,83.83,1250
293,doi chaang coffee company,Thailand,unknown,unknown,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,7.5,83.83,1499
294,doi tung development project,Thailand,unknown,unknown,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,7.75,83.83,1000
295,ethiopia commodity exchange,Ethiopia,unknown,unknown,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,7.5,83.83,1800
296,kennedy macharia,Kenya,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,83.75,1800
297,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,83.75,890
298,carcafe ltda ci,Colombia,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,83.75,1750
299,"lin, che-hao krude 林哲豪",Taiwan,Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,7.75,83.75,750
300,racafe & cia s.c.a,Colombia,unknown,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,7.67,83.75,1750
301,yunnan coffee exchange,China,Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,83.75,1650
302,carcafe ltda ci,Colombia,Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,83.75,1750
303,nile highland arabica coffee farmers,Uganda,Bourbon,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,83.75,1400
304,german negron,Puerto Rico,Other,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,83.75,853
305,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,83.75,1775
306,olam agro colombia,Colombia,Other,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,83.75,1550
307,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,83.75,1750
308,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,83.75,1750
309,kona pacific farmers cooperative,Hawaii,Hawaiian Kona,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,7.75,83.75,518
310,saul m. hernandez ramirez,Mexico,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,83.75,1250
311,the coffee source inc.,Guatemala,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,83.75,1300
312,carcafe ltda ci,Colombia,unknown,unknown,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,8.08,83.75,1600
313,exportadora de cafe condor s.a,Colombia,unknown,unknown,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,10.0,7.75,83.75,1600
314,kona pacific farmers cooperative,Hawaii,unknown,unknown,7.83,7.67,7.75,7.67,7.58,7.5,10.0,10.0,10.0,7.75,83.75,518
315,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,83.67,890
316,kennedy macharia,Kenya,SL28,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,83.67,1700
317,bismarck castro,Honduras,Caturra,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,83.67,1400
318,"comercial internacional exportadora, s.a.",Nicaragua,Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.67,1250
319,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,83.67,934
320,"lin, che-hao krude 林哲豪",Taiwan,Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,7.75,83.67,1200
321,"ceca, s.a.",Costa Rica,unknown,unknown,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,8.33,83.67,1350
322,doi tung development project,Thailand,unknown,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,7.75,83.67,800
323,rob stephen,Colombia,Caturra,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,7.83,83.67,1625
324,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,7.5,83.67,1356
325,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.58,83.67,1750
326,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,83.67,1900
327,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,83.67,1310
328,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,83.67,1310
329,exportadora de cafe condor s.a,Colombia,Caturra,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,83.67,1750
330,the coffee source inc.,Guatemala,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8.0,83.67,1450
331,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,83.67,1310
332,juan luis ortega carballo,Mexico,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,83.67,1100
333,ekai international company ltd.,Indonesia,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,83.67,1400
334,juan luis alvarado romero,Guatemala,Caturra,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,83.67,1524
335,kona pacific farmers cooperative,Hawaii,unknown,unknown,7.75,8.0,7.92,8.08,7.75,8.0,9.33,9.33,9.33,8.17,83.67,518
336,ipanema coffees,Brazil,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,83.58,890
337,juan luis alvarado romero,Guatemala,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.58,1128
338,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,1750
339,yunnan coffee exchange,China,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,1100
340,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,83.58,1775
341,andreas kussmaul,Mexico,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,83.58,1200
342,essencecoffee,Ethiopia,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.58,1850
343,bulamburi coffee farmers association,Uganda,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.58,1800
344,compañia colombiana agroindustrial s.a,Colombia,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.58,1600
345,compañia colombiana agroindustrial s.a,Colombia,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,83.58,1550
346,compañia colombiana agroindustrial s.a,Colombia,Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,7.58,83.58,1550
347,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,83.58,1000
348,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.58,1775
349,alfredo bojalil,Mexico,Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,1000
350,carcafe ltda ci,Colombia,Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,2136
351,nucoffee,Brazil,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,1100
352,carcafe ltda ci,Colombia,Caturra,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,83.5,1799
353,cqi taiwan icp cqi台灣合作夥伴,Taiwan,unknown,unknown,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,10.0,10.0,83.5,750
354,"ceca, s.a.",Costa Rica,Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,83.5,1850
355,carcafe ltda ci,Colombia,Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,83.5,1000
356,juan luis alvarado romero,Guatemala,Bourbon,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.5,1219
357,racafe & cia s.c.a,Colombia,Caturra,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,83.5,1775
358,damari absalome,Tanzania,Ruiru 11,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.5,1400
